COLLEGE_APPLICATION_TYPE,COLLEGE_APPLICATION_STATUS
CCCApply,
CCCApply,Complete
CCCApply,In Progress
CCCApply,NOT REPORTED
CCCApply,SUBMITTED
CCCApply,Submitted
CCCApply,
Cal State Apply,
Cal State Apply,COMPLETE
Cal State Apply,Complete
Cal State Apply,IN PROGRESS
Cal State Apply,In Progress
Cal State Apply,NOT REPORTED
Cal State Apply,RECEIVED
Cal State Apply,REDIRECTED
Cal State Apply,Received
Cal State Apply,Redirected
Cal State Apply,
Common App,
Common App,COMPLETE
Common App,IN PROGRESS
Common App,NOT REPORTED
Common App,
None,
None,COMPLETE
None,Complete
None,IN PROGRESS
None,In Progress
None,NOT REPORTED
None,
Other,COMPLETE
Other,IN PROGRESS
Other,NOT REPORTED
Other,
UC Apply,
UC Apply,ACCOUNT CREATED BUT CAMPUS NOT SELECTED
UC Apply,COMPLETE
UC Apply,Complete
UC Apply,IN PROGRESS
UC Apply,IN PROGRESS BUT CAMPUS NOT SELECTED
UC Apply,In Progress
UC Apply,NOT REPORTED
UC Apply,SUBMITTED
UC Apply,SUBMITTED BUT CAMPUS NOT SELECTED
UC Apply,
,